last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
637500.0,31.9,1,2.5,5.0,18.34,4,False,False,False,5.8,1,-1.0,-1.0
1075000.0,40.0,1,2.77149889685604,24.0,19.0,17,False,False,False,17.0,2,37948.0,14769.0
537500.0,55.0,2,3.0,4.0,41.3,4,False,False,False,7.4,1,-1.0,-1.0
975000.0,52.4,2,2.5,9.0,32.8,1,False,False,False,7.6,0,25616.0,27328.0
600000.0,62.0,3,2.77149889685604,3.0,37.0,3,False,False,False,10.0,0,-1.0,-1.0
887500.0,41.0,1,2.77149889685604,12.0,20.0,10,False,False,False,11.0,2,32859.0,13958.0
442500.0,42.0,2,2.5,3.0,24.7,1,False,False,False,8.2,0,-1.0,-1.0
1125000.0,56.0,3,2.5,5.0,40.0,1,False,False,False,5.5,0,20979.0,12531.0
2750000.0,90.1,3,2.77149889685604,20.0,54.5,15,False,False,False,12.0,2,18893.0,4358.0
350000.0,29.3,1,2.5,2.0,16.8,2,False,False,False,6.1,0,-1.0,-1.0
1825000.0,45.0,1,2.8,16.0,18.0,11,False,False,False,13.0,0,9989.0,11323.0
1250000.0,42.1,0,2.77149889685604,20.0,30.0,10,False,True,False,0.0,0,50605.0,15933.0
4150000.0,106.0,4,3.2,3.0,50.0,3,False,False,False,30.0,0,14822.0,26976.0
322500.0,30.7,1,2.77149889685604,5.0,17.2,4,False,False,False,5.6,1,-1.0,-1.0
6250000.0,130.0,3,3.37,6.0,66.9,4,False,False,False,27.4,0,23568.0,1898.0
1300000.0,57.0,2,2.55,12.0,32.0,4,False,False,False,8.0,2,51425.0,14437.0
912500.0,43.4,2,2.77149889685604,9.0,26.6,1,False,False,False,6.3,2,36007.0,10718.0
725000.0,31.42,1,2.6,10.0,15.58,6,False,False,False,9.09,0,-1.0,-1.0
775000.0,33.0,1,2.77149889685604,22.0,16.0,12,False,False,False,8.0,2,-1.0,-1.0
300000.0,37.0,1,2.6,5.0,17.07,1,False,False,False,9.0,2,-1.0,-1.0
1457500.0,60.7,3,2.77149889685604,5.0,45.2,3,False,False,False,6.8,0,19114.0,10645.0
400000.0,35.0,1,2.77149889685604,3.0,18.5,3,False,False,False,6.2,1,-1.0,-1.0
905000.0,28.0,1,2.7,20.0,18.0,17,False,False,True,6.265321375696674,2,35068.0,16167.0
2375000.0,124.7,4,2.54,12.0,74.0,8,False,False,False,12.0,1,52576.0,16801.0
2122000.0,72.0,3,2.77149889685604,13.0,43.0,3,False,False,False,8.5,0,10958.0,13427.0
1275000.0,56.0,2,2.55,16.0,31.0,2,False,False,False,10.0,1,18867.0,22291.0
1025822.0,66.0,2,2.77149889685604,19.0,34.45952722838635,13,False,False,False,10.82087281407689,0,-1.0,-1.0
656250.0,37.3,1,2.77149889685604,12.0,18.09,5,False,False,False,9.91,0,-1.0,-1.0
1700000.0,51.2,2,3.2,5.0,31.7,2,False,False,False,8.394374061829346,0,25050.0,3625.0
825000.0,35.0,1,2.7,16.0,15.0,14,False,False,False,9.0,5,-1.0,-1.0
832500.0,40.7,1,2.8,8.0,19.0,2,False,False,False,10.0,0,-1.0,-1.0
3750000.0,150.9,4,3.67,4.0,98.2,3,False,False,False,23.9,0,21204.0,2180.0
4350000.0,116.5,4,3.8,6.0,80.0,5,False,False,False,17.5,0,22725.0,2266.0
775000.0,46.0,2,2.77149889685604,5.0,27.0,2,False,False,False,9.0,2,-1.0,-1.0
912500.0,53.8,3,2.5,4.0,36.9,3,False,False,False,5.2,0,83758.0,64857.0
912500.0,40.0,1,2.77149889685604,16.0,18.0,16,False,False,False,10.0,2,34966.0,14103.0
645000.0,61.0,4,2.6,5.0,45.0,2,False,False,False,5.5,0,-1.0,-1.0
1875000.0,65.0,3,2.5,10.0,39.7,8,False,False,False,9.2,0,33792.0,14093.0
1275000.0,50.2,2,2.5,3.0,28.0,1,False,False,False,5.4,0,12671.0,24825.0
912500.0,35.7,1,2.6,9.0,18.1,8,False,False,False,7.1,1,28713.0,11034.0
1012500.0,47.2,2,2.77149889685604,9.0,28.0,2,False,False,False,7.0,0,33547.0,11856.0
